Timestamp;speed;output
0;0;1000
1085;0;1000
2092;0;1000
3093;0;1000
4089;0;1000
5093;0;1000
6090;0;1000
7091;0;1000
8089;0;1000
9090;0;1000
10087;0;1000
11088;0;1000
12085;0;1000
13086;0;1000
14092;0;1000
15087;0;1000
16093;0;1000
17086;0;1000
18091;0;1000
19093;0;1000
20090;0;1000
21091;0;1000
22147;0;1000
23092;0;1000
24085;0;1000
25086;0;1000
26087;0;1000
27092;0;1000
28085;0;1000
29091;0;1000
30092;0;1000
31089;0;1000
32090;0;1000
33101;0;1000
34089;0;1000
35085;0;1000
36091;0;1000
37092;0;1000
38090;0;1000
39092;0;1000
40089;0;1000
41092;0;1000
42089;0;1000
43091;0;1000
44099;0;1000
45092;0;1000
46086;0;1000
47092;0;1000
48085;0;1000
49092;0;1000
50085;0;1000
51091;0;1000
52085;0;1000
53091;0;1000
54093;0;1000
55104;0;1000
56085;0;1000
57087;0;1000
58085;0;1000
59087;0;1000
60093;0;1000
61086;0;1000
62093;0;1000
63086;0;1000
64092;0;1000
65089;0;1000
66102;0;1000
67091;0;1000
68093;0;1000
69089;0;1000
70090;0;1000
71087;0;1000
72088;0;1000
73085;0;1000
74092;0;1000
75093;0;1000
76086;0;1000
77103;0;1000
78091;0;1000
79093;0;1000
80090;0;1000
81091;0;1000
82088;0;1000
83090;0;1000
84087;0;1000
85091;0;1000
86088;0;1000
87089;0;1000
88102;0;1000
89090;0;1000
90092;0;1000
91089;0;1000
92090;0;1000
93088;0;1000
94089;0;1000
95089;0;1000
96090;0;1000
97088;0;1000
98262;0;1000
99008;0;1000
100090;0;1000
101087;0;1000
102091;0;1000
103089;0;1000
104089;0;1000
105089;0;1000
106089;0;1000
107092;0;1000
108088;0;1000
109088;0;1000
110107;0;1000
111090;0;1000
112092;0;1000
113093;0;1000
114092;0;1000
115088;0;1000
116094;0;1000
117088;0;1000
118090;0;1000
119101;0;1000
120090;0;1000
121106;0;1000
122087;0;1000
123089;0;1000
124087;0;1000
125092;0;1000
126089;0;1000
127091;0;1000
128089;0;1000
129091;0;1000
130089;0;1000
131091;0;1000
132101;0;1000
133090;0;1000
134091;0;1000
135091;0;1000
136092;0;1000
137089;0;1000
138090;0;1000
139087;0;1000
140088;0;1000
141086;0;1000
142087;0;1000
143106;0;1000
144086;0;1000
145091;0;1000
146088;0;1000
147089;0;1000
148086;0;1000
149087;0;1000
150093;0;1000
151085;0;1000
152091;0;1000
153092;0;1000
154108;0;1000
155091;0;1000
156092;0;1000
157090;0;1000
158091;0;1000
159088;0;1000
160089;0;1000
161086;0;1000
162087;0;1000
163093;0;1000
164086;0;1000
165102;0;1000
166091;0;1000
167092;0;1000
168089;0;1000
169091;0;1000
170089;0;1000
171091;0;1000
172089;0;1000
173091;0;1000
174089;0;1000
175085;0;1000
176101;0;1000
177091;0;1000
178093;0;1000
179091;0;1000
180093;0;1000
181091;0;1000
182093;0;1000
183091;0;1000
184092;0;1000
185085;0;1000
186087;0;1000
187103;0;1000
188092;0;1000
189085;0;1000
190092;0;1000
191085;0;1000
192091;0;1000
193085;0;1000
194091;0;1000
195088;0;1000
196085;0;1000
197087;0;1000
198101;0;1000
199093;0;1000
200085;0;1000
201090;0;1000
202091;0;1000
203088;0;1000
204090;0;1000
205090;0;1000
206091;0;1000
207088;0;1000
208090;0;1000
209102;0;1000
210090;0;1000
211092;0;1000
212089;0;1000
213090;0;1000
214087;0;1000
215091;0;1000
216088;0;1000
217090;0;1000
218087;0;1000
219112;0;1000
220167;0;1000
221091;0;1000
222093;0;1000
223090;0;1000
224091;0;1000
225092;0;1000
226093;0;1000
227090;0;1000
228091;0;1000
229088;0;1000
230090;0;1000
231111;0;1000
232106;0;1000
233089;0;1000
234090;0;1000
235091;0;1000
236085;0;1000
237091;0;1000
238093;0;1000
239091;0;1000
240093;0;1000
241091;0;1000
242093;0;1000
243137;0;1000
244089;0;1000
245085;0;1000
246087;0;1000
247093;0;1000
248086;0;1000
249093;0;1000
250086;0;1000
251092;0;1000
252086;0;1000
253092;0;1000
254123;0;1000
255091;0;1000
256092;0;1000
257086;0;1000
258092;0;1000
259086;0;1000
260092;0;1000
261085;0;1000
262092;0;1000
263085;0;1000
264091;0;1000
265202;0;1000
266090;0;1000
267091;0;1000
268088;0;1000
269089;0;1000
270087;0;1000
271088;0;1000
272085;0;1000
273086;0;1000
274092;0;1000
275087;0;1000
276169;0;1000
277093;0;1000
278086;0;1000
279091;0;1000
280093;0;1000
281090;0;1000
282091;0;1000
283088;0;1000
284089;0;1000
285090;0;1000
286091;0;1000
287114;0;1000
288085;0;1000
289086;0;1000
290092;0;1000
291085;0;1000
292090;0;1000
293091;0;1000
294089;0;1000
295093;0;1000
296090;0;1000
297091;0;1000
298106;0;1000
299086;0;1000
300088;0;1000
301085;0;1000
302087;0;1000
303085;0;1000
304087;0;1000
305088;0;1000
306090;0;1000
307087;0;1000
308089;0;1000
309101;0;1000
310090;0;1000
311092;0;1000
312090;0;1000
313092;0;1000
314090;0;1000
315086;0;1000
316093;0;1000
317086;0;1000
318092;0;1000
319086;0;1000
320105;0;1000
321101;0;1000
322093;0;1000
323086;0;1000
324093;0;1000
325089;0;1000
326087;0;1000
327089;0;1000
328087;0;1000
329089;0;1000
330087;0;1000
331105;0;1000
332093;0;1000
333086;0;1000
334092;0;1000
335087;0;1000
336093;0;1000
337085;0;1000
338091;0;1000
339092;0;1000
340089;0;1000
341091;0;1000
342103;0;1000
343092;0;1000
344085;0;1000
